portalFamily,portalPosition,portalLabel,duplicateLabelCount,source,observedOn,effectiveDate,candidateCatalogDestinations,exactCatalogDestination,canonicalCode,programId,status,exception
Portfolio Soft Roman,1,ALESE CASHEW(CARDIFF CASHEW),1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,ASE01,sundance_portfolio_roman_p21_t1 | sundance_portfolio_roman_p23_t1,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,2,ALESE IRON(CARDIFF IRON),1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],,,,unresolved_exception,"Exact identity/color-to-program route and current source revision, option compatibility, account terms and production save/price proof unresolved; menu label alone is not pricing authority"
Portfolio Soft Roman,3,ALESE IVORY(CARDIFF IVORY),1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,ASE03,sundance_portfolio_roman_p21_t1 | sundance_portfolio_roman_p23_t1,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,4,ALESE NATURAL(CARDIFF NATURAL),1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,ASE04,sundance_portfolio_roman_p21_t1 | sundance_portfolio_roman_p23_t1,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,5,ALESE STONE(CARDIFF STONE),1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],,,,unresolved_exception,"Exact identity/color-to-program route and current source revision, option compatibility, account terms and production save/price proof unresolved; menu label alone is not pricing authority"
Portfolio Soft Roman,6,ANDIE ANTIQUE,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,AND01,sundance_portfolio_roman_p22_t1 | sundance_portfolio_roman_p24_t1,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,7,ANDIE CORAL,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,AND05,sundance_portfolio_roman_p22_t1 | sundance_portfolio_roman_p24_t1,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,8,ANDIE LAVENDER,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,AND09,sundance_portfolio_roman_p22_t1 | sundance_portfolio_roman_p24_t1,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,9,ANDIE WHITE,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,AND17,sundance_portfolio_roman_p22_t1 | sundance_portfolio_roman_p24_t1,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,10,BARLOW GOLD,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],,,,unresolved_exception,"Exact identity/color-to-program route and current source revision, option compatibility, account terms and production save/price proof unresolved; menu label alone is not pricing authority"
Portfolio Soft Roman,11,CALLAWAY GRANITE(FONTANA GRANITE),1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,CLL01,sundance_portfolio_roman_p21_t2 | sundance_portfolio_roman_p23_t2,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,12,CALLAWAY LIMESTONE(FONTANA LIMESTONE),1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,CLL02,sundance_portfolio_roman_p21_t2 | sundance_portfolio_roman_p23_t2,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,13,CALLAWAY MARBLE(FONTANA MARBLE),1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,CLL03,sundance_portfolio_roman_p21_t2 | sundance_portfolio_roman_p23_t2,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,14,CALLAWAY SLATE(FONTANA SLATE),1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,CLL04,sundance_portfolio_roman_p21_t2 | sundance_portfolio_roman_p23_t2,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,15,CARAVELLO BURLAP(BANKS BURLAP),1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,CRV01,sundance_portfolio_roman_p21_t2 | sundance_portfolio_roman_p23_t2,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,16,CARAVELLO GRAY,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],,,,unresolved_exception,"Exact identity/color-to-program route and current source revision, option compatibility, account terms and production save/price proof unresolved; menu label alone is not pricing authority"
