sku,collection,url,portalPrice,productIds,programIds,sourceCells,sourcePages,sourceEffectiveDate,observedDate,status,exception
CAMX2772W,/collections/aluminum-blinds,/products/camx2772w-width-range-23-25-27-length-range-62-72,,lotus_mini_blinds,lotus_amx_1in_aluminum_custom,27.0x72=26.3,97,,2026-09-20,unresolved_exception,Price not displayed on collection
CAMX3560W,/collections/aluminum-blinds,/products/camx3560w-width-range-30-25-35-length-range-50-60,,lotus_mini_blinds,lotus_amx_1in_aluminum_custom,35.0x60=27.84,97,,2026-09-20,unresolved_exception,Price not displayed on collection
CAMX48108W,/collections/aluminum-blinds,/products/camx48108w-width-range-43-25-48-length-range-98-108,,lotus_mini_blinds,lotus_amx_1in_aluminum_custom,48.0x108=69.25,97,,2026-09-20,unresolved_exception,Price not displayed on collection
CAMX3536W,/collections/aluminum-blinds,/products/camx3536w-width-range-30-25-35-length-range-26-36,,lotus_mini_blinds,lotus_amx_1in_aluminum_custom,35.0x36=24.89,97,,2026-09-20,unresolved_exception,Price not displayed on collection
CAMX6360W,/collections/aluminum-blinds,/products/camx6360w-width-range-59-25-63-length-range-50-60,,lotus_mini_blinds,lotus_amx_1in_aluminum_custom,63.0x60=44.51,97,,2026-09-20,unresolved_exception,Price not displayed on collection
CAMX3972W,/collections/aluminum-blinds,/products/camx3972w-width-range-35-25-39-length-range-62-72,,lotus_mini_blinds,lotus_amx_1in_aluminum_custom,39.0x72=34.87,97,,2026-09-20,unresolved_exception,Price not displayed on collection
CAMX5960A,/collections/aluminum-blinds,/products/camx5960a-width-range-54-25-59-length-range-50-60,,lotus_mini_blinds,lotus_amx_1in_aluminum_custom,59.0x60=42.13,97,,2026-09-20,unresolved_exception,Price not displayed on collection
CAMX82560W,/collections/aluminum-blinds,/products/camx82560w-width-range-76-75-82-5-length-range-50-60,,lotus_mini_blinds,lotus_amx_1in_aluminum_custom,82.5x60=112.97,97,,2026-09-20,unresolved_exception,Price not displayed on collection
CAMX4896W,/collections/aluminum-blinds,/products/camx4896w-width-range-43-25-48-length-range-86-96,,lotus_mini_blinds,lotus_amx_1in_aluminum_custom,48.0x96=62.33,97,,2026-09-20,unresolved_exception,Price not displayed on collection
CAMX3596W,/collections/aluminum-blinds,/products/camx3596w-width-range-30-25-35-length-range-86-96,,lotus_mini_blinds,lotus_amx_1in_aluminum_custom,35.0x96=40.35,97,,2026-09-20,unresolved_exception,Price not displayed on collection
CAMX3048W,/collections/aluminum-blinds,/products/camx3048w-width-range-27-25-30-length-range-38-48,,lotus_mini_blinds,lotus_amx_1in_aluminum_custom,30.0x48=24.3,97,,2026-09-20,unresolved_exception,Price not displayed on collection
CAMX2336W,/collections/aluminum-blinds,/products/camx2336w-width-range-17-25-23-length-range-26-36,,lotus_mini_blinds,lotus_amx_1in_aluminum_custom,23.0x36=23.8,97,,2026-09-20,unresolved_exception,Price not displayed on collection
CAMX59108W,/collections/aluminum-blinds,/products/camx59108w-width-range-54-25-59-length-range-98-108,,lotus_mini_blinds,lotus_amx_1in_aluminum_custom,59.0x108=83.52,97,,2026-09-20,unresolved_exception,Price not displayed on collection
CAMX4884W,/collections/aluminum-blinds,/products/camx4884w-width-range-43-25-48-length-range-74-84,,lotus_mini_blinds,lotus_amx_1in_aluminum_custom,48.0x84=47.01,97,,2026-09-20,unresolved_exception,Price not displayed on collection
CAMX39108W,/collections/aluminum-blinds,/products/camx39108w-width-range-35-25-39-length-range-98-108,,lotus_mini_blinds,lotus_amx_1in_aluminum_custom,39.0x108=62.77,97,,2026-09-20,unresolved_exception,Price not displayed on collection
CAMX9572W,/collections/aluminum-blinds,/products/camx9572w-width-range-89-25-95-length-range-62-72,,lotus_mini_blinds,lotus_amx_1in_aluminum_custom,95.0x72=153.03,97,,2026-09-20,unresolved_exception,Price not displayed on collection
CAMX3584W,/collections/aluminum-blinds,/products/camx3584w-width-range-30-25-35-length-range-74-84,,lotus_mini_blinds,lotus_amx_1in_aluminum_custom,35.0x84=36.18,97,,2026-09-20,unresolved_exception,Price not displayed on collection
CAMX3572A,/collections/aluminum-blinds,/products/camx3572a-width-range-30-25-35-length-range-62-72,,lotus_mini_blinds,lotus_amx_1in_aluminum_custom,35.0x72=32.01,97,,2026-09-20,unresolved_exception,Price not displayed on collection
CAMX54108W,/collections/aluminum-blinds,/products/camx54108w-width-range-48-25-54-length-range-98-108,,lotus_mini_blinds,lotus_amx_1in_aluminum_custom,54.0x108=77.04,97,,2026-09-20,unresolved_exception,Price not displayed on collection
CAMX4360W,/collections/aluminum-blinds,/products/camx4360w-width-range-39-25-43-length-range-50-60,,lotus_mini_blinds,lotus_amx_1in_aluminum_custom,43.0x60=32.6,97,,2026-09-20,unresolved_exception,Price not displayed on collection
CAMX43108W,/collections/aluminum-blinds,/products/camx43108w-width-range-39-25-43-length-range-98-108,,lotus_mini_blinds,lotus_amx_1in_aluminum_custom,43.0x108=62.77,97,,2026-09-20,unresolved_exception,Price not displayed on collection
CAMX3960W,/collections/aluminum-blinds,/products/camx3960w-width-range-35-25-39-length-range-50-60,,lotus_mini_blinds,lotus_amx_1in_aluminum_custom,39.0x60=30.23,97,,2026-09-20,unresolved_exception,Price not displayed on collection
CAMX3572W,/collections/aluminum-blinds,/products/camx3572w-width-range-30-25-35-length-range-62-72,,lotus_mini_blinds,lotus_amx_1in_aluminum_custom,35.0x72=32.01,97,,2026-09-20,unresolved_exception,Price not displayed on collection
CAMX5996W,/collections/aluminum-blinds,/products/camx5996w-width-range-54-25-59-length-range-86-96,,lotus_mini_blinds,lotus_amx_1in_aluminum_custom,59.0x96=75.02,97,,2026-09-20,unresolved_exception,Price not displayed on collection
CAMX4896A,/collections/aluminum-blinds,/products/camx4896a-width-range-43-25-48-length-range-86-96,,,,,,,2026-09-20,unresolved_exception,No exact source SKU destination
CAMX3096W,/collections/aluminum-blinds,/products/camx3096w-width-range-27-25-30-length-range-86-96,,lotus_mini_blinds,lotus_amx_1in_aluminum_custom,30.0x96=36.54,97,,2026-09-20,unresolved_exception,Price not displayed on collection
CAMX5948W,/collections/aluminum-blinds,/products/camx5948w-width-range-54-25-59-length-range-38-48,,lotus_mini_blinds,lotus_amx_1in_aluminum_custom,59.0x48=41.02,97,,2026-09-20,unresolved_exception,Price not displayed on collection
CAMX5948A,/collections/aluminum-blinds,/products/camx5948a-width-range-54-25-59-length-range-38-48,,lotus_mini_blinds,lotus_amx_1in_aluminum_custom,59.0x48=41.02,97,,2026-09-20,unresolved_exception,Price not displayed on collection
CAMX3564W,/collections/aluminum-blinds,/products/camx3564w-width-range-30-25-35-length-range-54-64,,lotus_mini_blinds,lotus_amx_1in_aluminum_custom,35.0x64=32.01,97,,2026-09-20,unresolved_exception,Price not displayed on collection
