sku,title,url,variant,portalPrice,portalQuantityField,portalCasepack,portalCutdown,productIds,programIds,guideDealerNet,sourcePages,sourceEffectiveDate,observedDate,status,exception
FCX1160WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,11 x 60 / Soft White WH,105.0,50,,0,,,,,,2026-09-20,unresolved_exception,No exact imported stock SKU destination
FCX16560WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,16.5 x 60 / Soft White WH,27.72,153,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,27.72,61,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX1660WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,16 x 60 / Soft White WH,23.52,6,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,23.52,60,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX1760WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,17 x 60 / Soft White WH,24.99,234,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,24.99,60,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX1860WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,18 x 60 / Soft White WH,26.46,13,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,26.46,60,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX1960WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,19 x 60 / Soft White WH,20.69,61,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,20.69,60,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX2060WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,20 x 60 / Soft White WH,21.77,0,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,21.77,60,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX22560WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,22.5 x 60 / Soft White WH,24.5,218,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,24.5,61,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX2260WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,22 x 60 / Soft White WH,23.95,557,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,23.95,60,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX2360WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,23 x 60 / Soft White WH,25.04,907,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,25.04,60,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX24560WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,24.5 x 60 / Soft White WH,105.0,54,,0,,,,,,2026-09-20,unresolved_exception,No exact imported stock SKU destination
FCX2460WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,24 x 60 / Soft White WH,19.38,191,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,19.38,60,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX2560WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,25 x 60 / Soft White WH,20.19,202,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,20.19,60,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX2660WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,26 x 60 / Soft White WH,20.99,151,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,20.99,60,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX2760WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,27 x 60 / Soft White WH,21.8,2366,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,21.8,60,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX28560WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,28.5 x 60 / Soft White WH,23.01,17,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,23.01,61,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX2860WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,28 x 60 / Soft White WH,22.61,280,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,22.61,60,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX29560WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,29.5 x 60 / Soft White WH,23.82,1241,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,23.82,61,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX2960AL,FCX | 60 Inch Length,/products/fcx-60-inch-length,29 x 60 / Soft White BO,105.0,30,,0,,,,,,2026-09-20,unresolved_exception,No exact imported stock SKU destination
FCX2960WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,29 x 60 / Soft White WH,23.42,0,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,23.42,60,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX30560WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,30.5 x 60 / Soft White WH,24.63,248,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,24.63,61,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX3060WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,30 x 60 / Soft White WH,24.23,0,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,24.23,60,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX31560WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,31.5 x 60 / Soft White WH,25.44,391,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,25.44,61,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX3160AL,FCX | 60 Inch Length,/products/fcx-60-inch-length,31 x 60 / Soft White BO,105.0,1,,0,,,,,,2026-09-20,unresolved_exception,No exact imported stock SKU destination
FCX3160WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,31 x 60 / Soft White WH,25.03,426,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,25.03,60,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX32560WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,32.5 x 60 / Soft White WH,105.0,0,,0,,,,,,2026-09-20,unresolved_exception,No exact imported stock SKU destination
FCX3260WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,32 x 60 / Soft White WH,25.84,0,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,25.84,60,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX33560WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,33.5 x 60 / Soft White WH,27.05,103,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,27.05,61,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX3360WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,33 x 60 / Soft White WH,26.65,0,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,26.65,60,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX342560WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,34.25 x 60 / Soft White WH,27.66,-51,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,27.66,61,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX34560WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,34.5 x 60 / Soft White WH,27.86,0,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,27.86,61,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX3460WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,34 x 60 / Soft White WH,27.46,1979,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,27.46,60,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX347560AL,FCX | 60 Inch Length,/products/fcx-60-inch-length,34.75 x 60 / Soft White BO,105.0,7,,0,,,,,,2026-09-20,unresolved_exception,No exact imported stock SKU destination
FCX347560WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,34.75 x 60 / Soft White WH,28.06,2966,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,28.06,61,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX35560WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,35.5 x 60 / Soft White WH,28.67,481,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,28.67,61,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX3560AL,FCX | 60 Inch Length,/products/fcx-60-inch-length,35 x 60 / Soft White BO,105.0,-64,,0,,,,,,2026-09-20,unresolved_exception,No exact imported stock SKU destination
FCX3560WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,35 x 60 / Soft White WH,28.26,3495,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,28.26,60,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX3660AL,FCX | 60 Inch Length,/products/fcx-60-inch-length,36 x 60 / Soft White BO,105.0,-13,,0,,,,,,2026-09-20,unresolved_exception,No exact imported stock SKU destination
FCX3660WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,36 x 60 / Soft White WH,29.07,838,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,29.07,60,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX3760WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,37 x 60 / Soft White WH,29.88,1006,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,29.88,60,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
