platform,url,claimed,business_name,phone,website,address_or_service_area,primary_category,review_count,last_photo_or_post_update,duplicate_found,next_action,notes
Google Business Profile,,unknown,"805 Shutters, Shades & Blinds",805-806-9344,https://www.805shutters.com,"Santa Rosa Valley, CA / Ventura County",Window treatment store,14,unknown,yes,"Verify owner access, profile completeness, service-area/address mode, and submit/update redressal for confusing listing","Public Maps also shows confusing listing: 805 Shutters and Shades / (805) 870-8330"
Apple Business Connect / Apple Maps,,unknown,"805 Shutters, Shades & Blinds",805-806-9344,https://www.805shutters.com,"Santa Rosa Valley, CA / Ventura County",,unknown,unknown,unknown,"Claim or update listing",""
Bing Places,,unknown,"805 Shutters, Shades & Blinds",805-806-9344,https://www.805shutters.com,"Santa Rosa Valley, CA / Ventura County",,unknown,unknown,unknown,"Claim or update listing",""
Yelp,https://www.yelp.com/biz/805-shutters-camarillo-2,unknown,"805 Shutters, Shades & Blinds",805-806-9344,https://www.805shutters.com,"Santa Rosa Valley, CA / Ventura County",,unknown,unknown,unknown,"Verify NAP/category consistency","Existing site links to Yelp"
BBB,https://www.bbb.org/us/ca/camarillo/profile/shutters/805-shutters-shades-blinds-1236-92080266,unknown,"805 Shutters, Shades & Blinds",805-806-9344,https://www.805shutters.com,"Santa Rosa Valley, CA / Ventura County",,unknown,unknown,unknown,"Verify NAP/category consistency","Existing structured data links to BBB"
Facebook,https://www.facebook.com/805shutters,unknown,"805 Shutters, Shades & Blinds",805-806-9344,https://www.805shutters.com,"Santa Rosa Valley, CA / Ventura County",,unknown,unknown,unknown,"Verify NAP/category consistency","Existing site links to Facebook"
Instagram,https://www.instagram.com/805shutters/,unknown,"805 Shutters, Shades & Blinds",805-806-9344,https://www.805shutters.com,"Santa Rosa Valley, CA / Ventura County",,unknown,unknown,unknown,"Verify profile link and branding","Existing site links to Instagram"
Nextdoor,,unknown,"805 Shutters, Shades & Blinds",805-806-9344,https://www.805shutters.com,"Santa Rosa Valley, CA / Ventura County",,unknown,unknown,yes,"Verify current claimed page and duplicate merge state","Prior work found duplicate Nextdoor pages"
Houzz,,unknown,"805 Shutters, Shades & Blinds",805-806-9344,https://www.805shutters.com,"Santa Rosa Valley, CA / Ventura County",,unknown,unknown,unknown,"Find, claim, or create if no duplicate exists",""
Angi,,unknown,"805 Shutters, Shades & Blinds",805-806-9344,https://www.805shutters.com,"Santa Rosa Valley, CA / Ventura County",,unknown,unknown,unknown,"Find, claim, or create if no duplicate exists",""
MapQuest,https://www.mapquest.com/us/california/805-shutters-shades-blinds-378112738,unknown,"805 Shutters, Shades & Blinds",805-806-9344,https://www.805shutters.com,"Santa Rosa Valley, CA / Ventura County",,unknown,unknown,unknown,"Verify NAP/category consistency","Existing structured data links to MapQuest"
Yellow Pages,,unknown,"805 Shutters, Shades & Blinds",805-806-9344,https://www.805shutters.com,"Santa Rosa Valley, CA / Ventura County",,unknown,unknown,unknown,"Find, claim, or update listing",""
Chamber of Commerce,,unknown,"805 Shutters, Shades & Blinds",805-806-9344,https://www.805shutters.com,"Santa Rosa Valley, CA / Ventura County",,unknown,unknown,unknown,"Find, claim, or update listing",""
Local Ventura County directories,,unknown,"805 Shutters, Shades & Blinds",805-806-9344,https://www.805shutters.com,"Santa Rosa Valley, CA / Ventura County",,unknown,unknown,unknown,"Identify relevant local directories and add/correct citations",""
