product,catalog_id,collection,color_code,color,fabric_type,program,selectable,source,effective_date,source_note,status,exception
norman_shutters,norman_shutters:woodlore:001,Woodlore,001,Pure White,Paint,woodlore,True,norman-woodlore-binder-2026-09#page=7,,Complete 2026 shutter binder section b. Assortment evidence only; account pricing and configuration restrictions remain unresolved.,UNRESOLVED EXCEPTION,"Six existing programs and 126 finish routes are deployed with product-specific louvers, hinges and tilt validation. Six dealer baseline rates captured; five imported costs conflict and account applicability is pending. Production six-program quote 805-0326 passed save/close/full reload/reopen; every selected field persisted. Contract output correctly remains blocked. Full frame/panel/shape/track constraints and surcharge schedule remain unresolved."
norman_shutters,norman_shutters:woodlore:002,Woodlore,002,Extra White,Paint,woodlore,True,norman-woodlore-binder-2026-09#page=7,,Complete 2026 shutter binder section b. Assortment evidence only; account pricing and configuration restrictions remain unresolved.,UNRESOLVED EXCEPTION,"Six existing programs and 126 finish routes are deployed with product-specific louvers, hinges and tilt validation. Six dealer baseline rates captured; five imported costs conflict and account applicability is pending. Production six-program quote 805-0326 passed save/close/full reload/reopen; every selected field persisted. Contract output correctly remains blocked. Full frame/panel/shape/track constraints and surcharge schedule remain unresolved."
norman_shutters,norman_shutters:woodlore:003,Woodlore,003,Silk White,Paint,woodlore,True,norman-woodlore-binder-2026-09#page=7,,Complete 2026 shutter binder section b. Assortment evidence only; account pricing and configuration restrictions remain unresolved.,UNRESOLVED EXCEPTION,"Six existing programs and 126 finish routes are deployed with product-specific louvers, hinges and tilt validation. Six dealer baseline rates captured; five imported costs conflict and account applicability is pending. Production six-program quote 805-0326 passed save/close/full reload/reopen; every selected field persisted. Contract output correctly remains blocked. Full frame/panel/shape/track constraints and surcharge schedule remain unresolved."
norman_shutters,norman_shutters:woodlore:006,Woodlore,006,Pearl,Paint,woodlore,True,norman-woodlore-binder-2026-09#page=7,,Complete 2026 shutter binder section b. Assortment evidence only; account pricing and configuration restrictions remain unresolved.,UNRESOLVED EXCEPTION,"Six existing programs and 126 finish routes are deployed with product-specific louvers, hinges and tilt validation. Six dealer baseline rates captured; five imported costs conflict and account applicability is pending. Production six-program quote 805-0326 passed save/close/full reload/reopen; every selected field persisted. Contract output correctly remains blocked. Full frame/panel/shape/track constraints and surcharge schedule remain unresolved."
norman_shutters,norman_shutters:woodlore:032,Woodlore,032,Sea Mist,Paint,woodlore,True,norman-woodlore-binder-2026-09#page=7,,Complete 2026 shutter binder section b. Assortment evidence only; account pricing and configuration restrictions remain unresolved.,UNRESOLVED EXCEPTION,"Six existing programs and 126 finish routes are deployed with product-specific louvers, hinges and tilt validation. Six dealer baseline rates captured; five imported costs conflict and account applicability is pending. Production six-program quote 805-0326 passed save/close/full reload/reopen; every selected field persisted. Contract output correctly remains blocked. Full frame/panel/shape/track constraints and surcharge schedule remain unresolved."
norman_shutters,norman_shutters:woodlore:063,Woodlore,063,Decorator’s White,Paint,woodlore,True,norman-woodlore-binder-2026-09#page=7,,Complete 2026 shutter binder section b. Assortment evidence only; account pricing and configuration restrictions remain unresolved.,UNRESOLVED EXCEPTION,"Six existing programs and 126 finish routes are deployed with product-specific louvers, hinges and tilt validation. Six dealer baseline rates captured; five imported costs conflict and account applicability is pending. Production six-program quote 805-0326 passed save/close/full reload/reopen; every selected field persisted. Contract output correctly remains blocked. Full frame/panel/shape/track constraints and surcharge schedule remain unresolved."
norman_shutters,norman_shutters:woodlore_plus:001,Woodlore Plus,001,Pure White,Paint,woodlore_plus,True,norman-woodlore-plus-binder-2026-09#page=9,,Complete 2026 shutter binder section b. Assortment evidence only; account pricing and configuration restrictions remain unresolved.,UNRESOLVED EXCEPTION,"Six existing programs and 126 finish routes are deployed with product-specific louvers, hinges and tilt validation. Six dealer baseline rates captured; five imported costs conflict and account applicability is pending. Production six-program quote 805-0326 passed save/close/full reload/reopen; every selected field persisted. Contract output correctly remains blocked. Full frame/panel/shape/track constraints and surcharge schedule remain unresolved."
norman_shutters,norman_shutters:woodlore_plus:002,Woodlore Plus,002,Extra White,Paint,woodlore_plus,True,norman-woodlore-plus-binder-2026-09#page=9,,Complete 2026 shutter binder section b. Assortment evidence only; account pricing and configuration restrictions remain unresolved.,UNRESOLVED EXCEPTION,"Six existing programs and 126 finish routes are deployed with product-specific louvers, hinges and tilt validation. Six dealer baseline rates captured; five imported costs conflict and account applicability is pending. Production six-program quote 805-0326 passed save/close/full reload/reopen; every selected field persisted. Contract output correctly remains blocked. Full frame/panel/shape/track constraints and surcharge schedule remain unresolved."
norman_shutters,norman_shutters:woodlore_plus:003,Woodlore Plus,003,Silk White,Paint,woodlore_plus,True,norman-woodlore-plus-binder-2026-09#page=9,,Complete 2026 shutter binder section b. Assortment evidence only; account pricing and configuration restrictions remain unresolved.,UNRESOLVED EXCEPTION,"Six existing programs and 126 finish routes are deployed with product-specific louvers, hinges and tilt validation. Six dealer baseline rates captured; five imported costs conflict and account applicability is pending. Production six-program quote 805-0326 passed save/close/full reload/reopen; every selected field persisted. Contract output correctly remains blocked. Full frame/panel/shape/track constraints and surcharge schedule remain unresolved."
norman_shutters,norman_shutters:woodlore_plus:004,Woodlore Plus,004,Bright White,Paint,woodlore_plus,True,norman-woodlore-plus-binder-2026-09#page=9,,Complete 2026 shutter binder section b. Assortment evidence only; account pricing and configuration restrictions remain unresolved.,UNRESOLVED EXCEPTION,"Six existing programs and 126 finish routes are deployed with product-specific louvers, hinges and tilt validation. Six dealer baseline rates captured; five imported costs conflict and account applicability is pending. Production six-program quote 805-0326 passed save/close/full reload/reopen; every selected field persisted. Contract output correctly remains blocked. Full frame/panel/shape/track constraints and surcharge schedule remain unresolved."
norman_shutters,norman_shutters:woodlore_plus:006,Woodlore Plus,006,Pearl,Paint,woodlore_plus,True,norman-woodlore-plus-binder-2026-09#page=9,,Complete 2026 shutter binder section b. Assortment evidence only; account pricing and configuration restrictions remain unresolved.,UNRESOLVED EXCEPTION,"Six existing programs and 126 finish routes are deployed with product-specific louvers, hinges and tilt validation. Six dealer baseline rates captured; five imported costs conflict and account applicability is pending. Production six-program quote 805-0326 passed save/close/full reload/reopen; every selected field persisted. Contract output correctly remains blocked. Full frame/panel/shape/track constraints and surcharge schedule remain unresolved."
norman_shutters,norman_shutters:woodlore_plus:007,Woodlore Plus,007,Ivory Lace,Paint,woodlore_plus,True,norman-woodlore-plus-binder-2026-09#page=9,,Complete 2026 shutter binder section b. Assortment evidence only; account pricing and configuration restrictions remain unresolved.,UNRESOLVED EXCEPTION,"Six existing programs and 126 finish routes are deployed with product-specific louvers, hinges and tilt validation. Six dealer baseline rates captured; five imported costs conflict and account applicability is pending. Production six-program quote 805-0326 passed save/close/full reload/reopen; every selected field persisted. Contract output correctly remains blocked. Full frame/panel/shape/track constraints and surcharge schedule remain unresolved."
