collection,code,color,cell,programId,status
Sheer,C5004,Cloud White,"3/8"" Single Cell",honeycomb_3_8in_cordless_single_and_3_4in_single,GRID MAPPED; CONFIGURATION/PORTAL VERIFICATION PENDING
Sheer,C5004,Cloud White,"9/16"" Single Cell",honeycomb_9_16in_cordless_single_cell,GRID MAPPED; CONFIGURATION/PORTAL VERIFICATION PENDING
Sheer,C5004,Cloud White,"3/4"" Single Cell",honeycomb_3_8in_cordless_single_and_3_4in_single,GRID MAPPED; CONFIGURATION/PORTAL VERIFICATION PENDING
Sheer,C5004,Cloud White,"1 1/4"" Single Cell",honeycomb_3_4in_cordless_double_and_1_1_4in_single,GRID MAPPED; CONFIGURATION/PORTAL VERIFICATION PENDING
Sheer,C5001,Seapearl,"3/8"" Single Cell",honeycomb_3_8in_cordless_single_and_3_4in_single,GRID MAPPED; CONFIGURATION/PORTAL VERIFICATION PENDING
Sheer,C5001,Seapearl,"9/16"" Single Cell",honeycomb_9_16in_cordless_single_cell,GRID MAPPED; CONFIGURATION/PORTAL VERIFICATION PENDING
Sheer,C5001,Seapearl,"3/4"" Single Cell",honeycomb_3_8in_cordless_single_and_3_4in_single,GRID MAPPED; CONFIGURATION/PORTAL VERIFICATION PENDING
Sheer,C5001,Seapearl,"1 1/4"" Single Cell",honeycomb_3_4in_cordless_double_and_1_1_4in_single,GRID MAPPED; CONFIGURATION/PORTAL VERIFICATION PENDING
Sheer,C5002,Cloudy Chiffon,"3/8"" Single Cell",honeycomb_3_8in_cordless_single_and_3_4in_single,GRID MAPPED; CONFIGURATION/PORTAL VERIFICATION PENDING
Sheer,C5002,Cloudy Chiffon,"9/16"" Single Cell",honeycomb_9_16in_cordless_single_cell,GRID MAPPED; CONFIGURATION/PORTAL VERIFICATION PENDING
Sheer,C5002,Cloudy Chiffon,"3/4"" Single Cell",honeycomb_3_8in_cordless_single_and_3_4in_single,GRID MAPPED; CONFIGURATION/PORTAL VERIFICATION PENDING
Sheer,C5002,Cloudy Chiffon,"1 1/4"" Single Cell",honeycomb_3_4in_cordless_double_and_1_1_4in_single,GRID MAPPED; CONFIGURATION/PORTAL VERIFICATION PENDING
Sheer,C5501,Jersey Cream,"3/8"" Single Cell",honeycomb_3_8in_cordless_single_and_3_4in_single,GRID MAPPED; CONFIGURATION/PORTAL VERIFICATION PENDING
Sheer,C5501,Jersey Cream,"9/16"" Single Cell",honeycomb_9_16in_cordless_single_cell,GRID MAPPED; CONFIGURATION/PORTAL VERIFICATION PENDING
Sheer,C5501,Jersey Cream,"3/4"" Single Cell",honeycomb_3_8in_cordless_single_and_3_4in_single,GRID MAPPED; CONFIGURATION/PORTAL VERIFICATION PENDING
Sheer,C5501,Jersey Cream,"1 1/4"" Single Cell",honeycomb_3_4in_cordless_double_and_1_1_4in_single,GRID MAPPED; CONFIGURATION/PORTAL VERIFICATION PENDING
Sheer,C5201,Nightfall,"3/8"" Single Cell",honeycomb_3_8in_cordless_single_and_3_4in_single,GRID MAPPED; CONFIGURATION/PORTAL VERIFICATION PENDING
Sheer,C5201,Nightfall,"9/16"" Single Cell",honeycomb_9_16in_cordless_single_cell,GRID MAPPED; CONFIGURATION/PORTAL VERIFICATION PENDING
Sheer,C5201,Nightfall,"3/4"" Single Cell",honeycomb_3_8in_cordless_single_and_3_4in_single,GRID MAPPED; CONFIGURATION/PORTAL VERIFICATION PENDING
Sheer,C5201,Nightfall,"1 1/4"" Single Cell",honeycomb_3_4in_cordless_double_and_1_1_4in_single,GRID MAPPED; CONFIGURATION/PORTAL VERIFICATION PENDING
Light Filtering,C7015K,Brilliant White,"3/8"" Single Cell",honeycomb_3_8in_cordless_single_and_3_4in_single,GRID MAPPED; CONFIGURATION/PORTAL VERIFICATION PENDING
Light Filtering,C7015K,Brilliant White,"9/16"" Single Cell",honeycomb_9_16in_cordless_single_cell,GRID MAPPED; CONFIGURATION/PORTAL VERIFICATION PENDING
Light Filtering,C7015K,Brilliant White,"1/2"" Double Cell",honeycomb_1_2in_cordless_double,GRID MAPPED; CONFIGURATION/PORTAL VERIFICATION PENDING
Light Filtering,C7015K,Brilliant White,"3/4"" Single Cell",honeycomb_3_8in_cordless_single_and_3_4in_single,GRID MAPPED; CONFIGURATION/PORTAL VERIFICATION PENDING
Light Filtering,C7015K,Brilliant White,"3/4"" Double Cell",honeycomb_3_4in_cordless_double_and_1_1_4in_single,GRID MAPPED; CONFIGURATION/PORTAL VERIFICATION PENDING
Light Filtering,C7015K,Brilliant White,"1 1/4"" Single Cell",honeycomb_3_4in_cordless_double_and_1_1_4in_single,GRID MAPPED; CONFIGURATION/PORTAL VERIFICATION PENDING
Light Filtering,C7016K,Cotton Cloud,"3/8"" Single Cell",honeycomb_3_8in_cordless_single_and_3_4in_single,GRID MAPPED; CONFIGURATION/PORTAL VERIFICATION PENDING
Light Filtering,C7016K,Cotton Cloud,"9/16"" Single Cell",honeycomb_9_16in_cordless_single_cell,GRID MAPPED; CONFIGURATION/PORTAL VERIFICATION PENDING
Light Filtering,C7016K,Cotton Cloud,"1/2"" Double Cell",honeycomb_1_2in_cordless_double,GRID MAPPED; CONFIGURATION/PORTAL VERIFICATION PENDING
Light Filtering,C7016K,Cotton Cloud,"3/4"" Single Cell",honeycomb_3_8in_cordless_single_and_3_4in_single,GRID MAPPED; CONFIGURATION/PORTAL VERIFICATION PENDING
Light Filtering,C7016K,Cotton Cloud,"3/4"" Double Cell",honeycomb_3_4in_cordless_double_and_1_1_4in_single,GRID MAPPED; CONFIGURATION/PORTAL VERIFICATION PENDING
Light Filtering,C7016K,Cotton Cloud,"1 1/4"" Single Cell",honeycomb_3_4in_cordless_double_and_1_1_4in_single,GRID MAPPED; CONFIGURATION/PORTAL VERIFICATION PENDING
Light Filtering,C7017K,Gardenia,"3/8"" Single Cell",honeycomb_3_8in_cordless_single_and_3_4in_single,GRID MAPPED; CONFIGURATION/PORTAL VERIFICATION PENDING
Light Filtering,C7017K,Gardenia,"9/16"" Single Cell",honeycomb_9_16in_cordless_single_cell,GRID MAPPED; CONFIGURATION/PORTAL VERIFICATION PENDING
Light Filtering,C7017K,Gardenia,"1/2"" Double Cell",honeycomb_1_2in_cordless_double,GRID MAPPED; CONFIGURATION/PORTAL VERIFICATION PENDING
Light Filtering,C7017K,Gardenia,"3/4"" Single Cell",honeycomb_3_8in_cordless_single_and_3_4in_single,GRID MAPPED; CONFIGURATION/PORTAL VERIFICATION PENDING
Light Filtering,C7017K,Gardenia,"3/4"" Double Cell",honeycomb_3_4in_cordless_double_and_1_1_4in_single,GRID MAPPED; CONFIGURATION/PORTAL VERIFICATION PENDING
Light Filtering,C7017K,Gardenia,"1 1/4"" Single Cell",honeycomb_3_4in_cordless_double_and_1_1_4in_single,GRID MAPPED; CONFIGURATION/PORTAL VERIFICATION PENDING
Light Filtering,C7427K,Wheat,"3/8"" Single Cell",honeycomb_3_8in_cordless_single_and_3_4in_single,GRID MAPPED; CONFIGURATION/PORTAL VERIFICATION PENDING
Light Filtering,C7427K,Wheat,"9/16"" Single Cell",honeycomb_9_16in_cordless_single_cell,GRID MAPPED; CONFIGURATION/PORTAL VERIFICATION PENDING
Light Filtering,C7427K,Wheat,"1/2"" Double Cell",honeycomb_1_2in_cordless_double,GRID MAPPED; CONFIGURATION/PORTAL VERIFICATION PENDING
Light Filtering,C7427K,Wheat,"3/4"" Single Cell",honeycomb_3_8in_cordless_single_and_3_4in_single,GRID MAPPED; CONFIGURATION/PORTAL VERIFICATION PENDING
