product,field,field_label,choice_value,choice_label,source_pages,effective_date,status,exception
citylights_aluminum,mount_type,Mount,inside,Inside mount,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
citylights_aluminum,mount_type,Mount,outside,Outside mount,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
citylights_aluminum,mount_type,Mount,ceiling,Ceiling mount,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
citylights_aluminum,mount_type,Mount,side,Side mount,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
citylights_aluminum,slat_size,Slat size,1,1 in,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
citylights_aluminum,slat_size,Slat size,2,2 in,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
citylights_aluminum,slat_finish,Slat finish,standard,Standard,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
citylights_aluminum,slat_finish,Slat finish,metallic,Metallic,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
citylights_aluminum,slat_finish,Slat finish,matte,Matte,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
citylights_aluminum,slat_finish,Slat finish,perforated,Perforated,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
citylights_aluminum,control_side,Control side,left,Left,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
citylights_aluminum,control_side,Control side,right,Right,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
