"products","file","line","saved_key","read_expression","enclosing_function"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","691","key","context.configuration[key]","stringConfig"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","702","key","context.configuration[key]","numberConfig"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","720","key","context.configuration[key]","booleanConfig"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1112","application","context.configuration.application","baseSelected"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1113","lift_system","context.configuration.lift_system","baseSelected"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1114","cell_size","context.configuration.cell_size","baseSelected"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1115","fabric_collection","context.configuration.fabric_collection","baseSelected"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1344","side_by_side_matches","context.configuration.side_by_side_matches","validateMountAndSideBySide"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1536","honeycomb_component_net_widths","context.configuration.honeycomb_component_net_widths","validateTwoOnOne"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1839","honeycomb_panel_net_widths","context.configuration.honeycomb_panel_net_widths","validateFrame"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1842","honeycomb_panel_net_heights","context.configuration.honeycomb_panel_net_heights","validateFrame"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1962","rear_fabric_collection","context.configuration.rear_fabric_collection","validateDayNight"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1963","rear_cell_size","context.configuration.rear_cell_size","validateDayNight"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1993","rear_fabric_collection","context.configuration.rear_fabric_collection","validateDayNight"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1994","rear_fabric_color_code","context.configuration.rear_fabric_color_code","validateDayNight"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1994","rear_cell_size","context.configuration.rear_cell_size","validateDayNight"
