"products","file","line","kind","rule_id","source","message","expression","enclosing_function"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1135","validation helper invocation","`honeycomb.matrix.${profile.id}.${failure}`","profile.sourcePage","profile.sourceId","issue( `honeycomb.matrix.${profile.id}.${failure}`, profile.sourcePage, { ...baseSelected(context), profileId: profile.id, ...profile.limits }, labels[failure], ""hard_block"", undefined, profile.sourceId, )","validateDimensionProfile"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1159","validation helper invocation","""honeycomb.matrix.smartrise_tall_min_width""","5","""SmartRise Cordless shades over 86 inches high require at least 25 inches of width.""","issue( ""honeycomb.matrix.smartrise_tall_min_width"", 5, { widthInches: context.widthInches, heightInches: context.heightInches, thresholdHeight: 86, minWidth: 25, }, ""SmartRise Cordless shades over 86 inches high require at least 25 inches of width."", )","validateConditionalLimits"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1178","validation helper invocation","""honeycomb.matrix.tdbu_tall_min_width""","5","""Cordless TDBU shades over 86 inches high require at least 30 inches of width.""","issue( ""honeycomb.matrix.tdbu_tall_min_width"", 5, { widthInches: context.widthInches, heightInches: context.heightInches, thresholdHeight: 86, minWidth: 30, }, ""Cordless TDBU shades over 86 inches high require at least 30 inches of width."", )","validateConditionalLimits"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1197","validation helper invocation","""honeycomb.matrix.cord_loop_td_day_night_tall_min_width""","5","""Cord Loop TD and Day & Night shades over 72 inches high require at least 30 inches of width.""","issue( ""honeycomb.matrix.cord_loop_td_day_night_tall_min_width"", 5, { widthInches: context.widthInches, heightInches: context.heightInches, thresholdHeight: 72, minWidth: 30, }, ""Cord Loop TD and Day & Night shades over 72 inches high require at least 30 inches of width."", )","validateConditionalLimits"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1217","validation helper invocation","""honeycomb.matrix.woven_narrow_max_height""","5","""Woven Cordless shades 19 inches wide or narrower cannot exceed 62 inches high.""","issue( ""honeycomb.matrix.woven_narrow_max_height"", 5, { widthInches: context.widthInches, heightInches: context.heightInches, thresholdWidth: 19, maxHeight: 62, }, ""Woven Cordless shades 19 inches wide or narrower cannot exceed 62 inches high."", )","validateConditionalLimits"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1235","validation helper invocation","""honeycomb.matrix.woven_ashton_86_envelope""","5","""Woven fabrics and Designer Ashton cannot exceed 86 by 86 inches.""","issue( ""honeycomb.matrix.woven_ashton_86_envelope"", 5, { widthInches: context.widthInches, heightInches: context.heightInches, maxWidth: 86, maxHeight: 86, }, ""Woven fabrics and Designer Ashton cannot exceed 86 by 86 inches."", )","validateConditionalLimits"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1255","validation helper invocation","""honeycomb.matrix.vertical_fr_max_height""","5","""Patio Door Vertical using 3/4-inch Flame Resistant fabric cannot exceed 96 inches high.""","issue( ""honeycomb.matrix.vertical_fr_max_height"", 5, { heightInches: context.heightInches, maxHeight: 96 }, ""Patio Door Vertical using 3/4-inch Flame Resistant fabric cannot exceed 96 inches high."", )","validateConditionalLimits"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1297","validation helper invocation","""honeycomb.matrix.side_mount.inside_only""","6","""Side Mount installation is available only for inside-mount windows.""","issue( ""honeycomb.matrix.side_mount.inside_only"", 6, { mount_type: stringConfig(context, ""mount_type""), installation_method: stringConfig(context, ""installation_method""), }, ""Side Mount installation is available only for inside-mount windows."", )","validateMountAndSideBySide"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1309","validation helper invocation","""honeycomb.matrix.side_mount.system_ineligible""","6","""This Honeycomb system is marked N/A for Side Mount installation.""","issue( ""honeycomb.matrix.side_mount.system_ineligible"", 6, { system }, ""This Honeycomb system is marked N/A for Side Mount installation."", )","validateMountAndSideBySide"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1318","validation helper invocation","""honeycomb.matrix.side_mount.max_width""","6","""A true Side Mount installation cannot exceed 37 inches; wider shades require regular support brackets and are not side-mounted.""","issue( ""honeycomb.matrix.side_mount.max_width"", 6, { widthInches: context.widthInches, maxWidth: 37 }, ""A true Side Mount installation cannot exceed 37 inches; wider shades require regular support brackets and are not side-mounted."", )","validateMountAndSideBySide"
