"products","file","line","record_type","property","value_type","optional"
"norman_shutters","src/components/crm/NormanBifold180ConstructionOptions.tsx","3","","value","NormanBifold180Construction|undefined","false"
"norman_shutters","src/components/crm/NormanBifold180ConstructionOptions.tsx","3","","aqua","boolean","false"
"norman_shutters","src/components/crm/NormanBifold180ConstructionOptions.tsx","3","","onChange","(value:NormanBifold180Construction)=>void","false"
"norman_contract_faux_wood|norman_contract_vertical","src/components/crm/NormanContractDesignOptions.tsx","8","","design","SalesQuoteDesign|undefined","false"
"norman_contract_faux_wood|norman_contract_vertical","src/components/crm/NormanContractDesignOptions.tsx","8","","productId","string","false"
"norman_contract_faux_wood|norman_contract_vertical","src/components/crm/NormanContractDesignOptions.tsx","8","","lineItem","SalesQuoteLineItem","false"
"norman_contract_faux_wood|norman_contract_vertical","src/components/crm/NormanContractDesignOptions.tsx","8","","onUpdateFields","(fields:Partial<SalesQuoteDesign>)=>void","false"
"roller","src/components/crm/NormanRollerCommonOptions.tsx","5","","design","SalesQuoteDesign|undefined","false"
"roller","src/components/crm/NormanRollerCommonOptions.tsx","5","","onUpdateFields","(fields:Partial<SalesQuoteDesign>)=>void","false"
"roller","src/components/crm/NormanRollerHardwareOptions.tsx","5","","design","SalesQuoteDesign|undefined","false"
"roller","src/components/crm/NormanRollerHardwareOptions.tsx","5","","onUpdateFields","(fields:Partial<SalesQuoteDesign>)=>void","false"
"roller","src/components/crm/NormanRollerMeasureFields.tsx","9","Props","details","DetailRecord","false"
"roller","src/components/crm/NormanRollerMeasureFields.tsx","10","Props","disabled","boolean","false"
"roller","src/components/crm/NormanRollerMeasureFields.tsx","11","Props","onDetail","(key: string, value: string | boolean) => void","false"
"roller","src/components/crm/NormanRollerMeasureFields.tsx","12","Props","onFabric","(value: { fabric: string; programId: string | null }) => void","false"
"roller","src/components/crm/NormanRollerMeasureFields.tsx","12","Props","fabric","string","false"
"roller","src/components/crm/NormanRollerMeasureFields.tsx","12","Props","programId","string | null","false"
"roller","src/components/crm/NormanRollerMeasureFields.tsx","57","","label","string","false"
"roller","src/components/crm/NormanRollerMeasureFields.tsx","58","","field","string","false"
"roller","src/components/crm/NormanRollerMeasureFields.tsx","59","","options","string[]","false"
"roller","src/components/crm/NormanRollerMeasureFields.tsx","60","","details","DetailRecord","false"
"roller","src/components/crm/NormanRollerMeasureFields.tsx","61","","disabled","boolean","false"
"roller","src/components/crm/NormanRollerMeasureFields.tsx","62","","onDetail","Props[""onDetail""]","false"
"roller","src/components/crm/NormanRollerPanelOptions.tsx","3","","design","SalesQuoteDesign|undefined","false"
"roller","src/components/crm/NormanRollerPanelOptions.tsx","3","","onUpdateFields","(fields:Partial<SalesQuoteDesign>)=>void","false"
"norman_roman_fabric_by_yard|norman_roman_pillow_covers","src/components/crm/NormanRomanAncillaryOptions.tsx","7","","design","SalesQuoteDesign|undefined","false"
"norman_roman_fabric_by_yard|norman_roman_pillow_covers","src/components/crm/NormanRomanAncillaryOptions.tsx","7","","productId","string","false"
"norman_roman_fabric_by_yard|norman_roman_pillow_covers","src/components/crm/NormanRomanAncillaryOptions.tsx","7","","onUpdateFields","(fields:Partial<SalesQuoteDesign>)=>void","false"
"norman_shutters","src/components/crm/NormanShutterPanelOptions.tsx","10","","design","SalesQuoteDesign|undefined","false"
"norman_shutters","src/components/crm/NormanShutterPanelOptions.tsx","10","","onUpdateFields","(fields:Partial<SalesQuoteDesign>)=>void","false"
"norman_smartdrape_replacement_vanes","src/components/crm/NormanSmartdrapeReplacementOptions.tsx","5","","design","SalesQuoteDesign|undefined","false"
"norman_smartdrape_replacement_vanes","src/components/crm/NormanSmartdrapeReplacementOptions.tsx","5","","onUpdateFields","(fields:Partial<SalesQuoteDesign>)=>void","false"
"smartfold","src/components/crm/NormanSmartfoldChargingOptions.tsx","5","","design","SalesQuoteDesign|undefined","false"
"smartfold","src/components/crm/NormanSmartfoldChargingOptions.tsx","5","","quantity","number","false"
"smartfold","src/components/crm/NormanSmartfoldChargingOptions.tsx","5","","onUpdateFields","(fields:Partial<SalesQuoteDesign>)=>void","false"
