colorCode,collection,colorName,fabricWidthInches,sourcePage
F0908,Sheer,Linen Weave,118.0,6
F1538,Dazzle,Soft White,110.0,6
F1539,Dazzle,Eggshell,110.0,6
F1540,Dazzle,Pewter Green,110.0,6
F1541,Dazzle,Charcoal,110.0,6
F1542,Dazzle,Ink,110.0,6
F1599,Scarlett,Cottage Linen,118.0,6
F1600,Scarlett,Seashell,118.0,6
F1601,Scarlett,Crema,118.0,6
F1602,Scarlett,Stone,118.0,6
F1642,Lakeshore,Natural Gray,118.0,6
F0890,Kendra,LF Foliage,118.0,7
F0883,Francis,Brownie,118.0,7
F0876,Francis,Pearl,118.0,7
F0877,Francis,Barley,118.0,7
F0878,Francis,Sandstone,118.0,7
F0879,Francis,Toast,118.0,7
F0882,Francis,Espresso,118.0,7
F0884,Francis,Oatmeal,118.0,7
F0885,Francis,Doe,118.0,7
F0886,Francis,Shale,118.0,7
F0888,Francis,Black,118.0,7
F0889,Francis,Denim,118.0,7
F0891,Breeze,Linen Flax,118.0,7
F0893,Breeze,Linen Natural,118.0,7
F0894,Breeze,Linen Khaki,118.0,7
F0895,Breeze,Linen Dune,118.0,7
F0896,Breeze,Linen Graphite,118.0,7
F0927,Breeze,Linen Almond Milk,118.0,7
F1778,Breeze,Linen Stone,118.0,7
F1847,Breeze,Linen Cloud,118.0,7
F1851,Breeze,Linen Warm Ivory,118.0,7
F0747,Hayes,Maple,118.0,7
F0748,Hayes,Hickory,118.0,7
F0749,Hayes,Birch,118.0,7
F0751,Hayes,Mahogany,118.0,7
F0740,Valerie,Dolphin,106.0,7
F0741,Valerie,Pomegranate,106.0,7
F0739,Valerie,Cove,118.0,7
F0743,Valerie,Silhouette,118.0,7
F0738,Valerie,Moonscape,118.0,7
F0742,Valerie,Sapphire,118.0,7
F0752,Emery,Daylight,118.0,8
F0753,Emery,Creamy,118.0,8
F0754,Emery,Khaki,118.0,8
F1560,Emery,Chiffon,118.0,8
F1120,Brook,Pewter,118.0,8
F1121,Brook,Egret,118.0,8
F1122,Brook,Smoke,118.0,8
F1123,Brook,Beige,118.0,8
F1157,Brook,Latte,118.0,8
F1445,Chelsea,Snow,110.0,8
F1446,Chelsea,Cream,110.0,8
F1448,Chelsea,Stone,110.0,8
F1449,Chelsea,Caviar,110.0,8
F1447,Chelsea,Natural,110.0,8
F1450,Sierra,Snow,110.0,8
F1451,Sierra,Cream,110.0,8
F1452,Sierra,Natural,110.0,8
F1453,Sierra,Stone,110.0,8
F1454,Sierra,Caviar,110.0,8
F1966,Sierra,Canvas,110.0,8
F1967,Sierra,Graphite,110.0,8
F1436,Shimmer,Goldmine,110.0,8
F1437,Shimmer,Starry Night,110.0,8
F1439,Shimmer,Pewter,110.0,8
F1440,Shimmer,Midnight,110.0,8
F1484,Amelia,Mist Gray,118.0,8
F1485,Amelia,Heather Gray,118.0,8
F1486,Amelia,Heather Charcoal,118.0,8
F1487,Amelia,Heather Smoke,118.0,8
F1551,Lola LF,Porcelain,118.0,8
F1552,Lola LF,Almond,118.0,8
F1553,Lola LF,Light Khaki,118.0,8
F1554,Lola LF,Wheat,118.0,8
F1555,Lola LF,Platinum,118.0,8
F1556,Lola LF,Cement,118.0,8
F1557,Lola LF,Pewter,118.0,8
F1558,Lola LF,Iron,118.0,8
F1559,Lola LF,Indigo,118.0,8
F0870,Clarissa,Wheat,118.0,9
F0871,Clarissa,Platinum,118.0,9
F0872,Clarissa,Tobacco Brown,118.0,9
F0873,Clarissa,Sable Brown,118.0,9
F0874,Clarissa,Burlap,118.0,9
F0928,Clarissa,Porcelain,118.0,9
F1532,Clarissa,Powder,118.0,9
F1533,Clarissa,Steel,118.0,9
F1534,Clarissa,Silver Satin,118.0,9
F1535,Clarissa,Golden Straw,118.0,9
F1536,Clarissa,Coffee Bean,118.0,9
F1550,Clarissa,Coal,118.0,9
F1641,Verona LF,Pearl Cotton,118.0,9
F1734,Callie,Pure White,118.0,9
F1736,Callie,Natural Tan,118.0,9
F1737,Callie,Silver Ash,118.0,9
F1738,Callie,Pebble Gray,118.0,9
F1739,Callie,Black Iron,118.0,9
F1735,Callie,Vanilla Cream,118.0,9
F2028,Callie,Cloudy Gray,118.0,9
F2030,Callie,Gray,118.0,9
F2032,Callie,Rich Truffle,118.0,9
F1746,Remy,White Dove,118.0,9
F1747,Remy,Seashell Gray,118.0,9
F1748,Remy,Dune,118.0,9
F1749,Remy,Hickory Bark,118.0,9
F1750,Remy,Creamy Mocha,118.0,9
F1751,Remy,Natural Slate,118.0,9
F2203,Ohara,Light Gray,110.0,9
F2204,Ohara,Taupe,110.0,9
F2205,Ohara,Coconut Shell,110.0,9
F2206,Ohara,Denim Blue,110.0,9
F2207,Ohara,Rosemary Green,110.0,9
F2249,Waikiki,Mauve Gray,118.0,9
F2250,Waikiki,Indigo Blue,118.0,9
F2251,Waikiki,Driftwood,118.0,9
F2093,Olivia,Polar White,118.0,9
F2095,Olivia,Sea Salt,118.0,9
F2099,Olivia,Raw Sugar,118.0,9
F2097,Olivia,Antique Sage,118.0,9
F2098,Olivia,Fossil,118.0,9
F2189,Rockville,Whisper White,118.0,10
F2190,Rockville,Pale Wheat,118.0,10
F2191,Rockville,Stone,118.0,10
F2192,Rockville,Khaki Sage,118.0,10
F2228,Brill,Titanium,118.0,10
F2229,Brill,Birch,118.0,10
F2230,Brill,Walnut,118.0,10
F2231,Brill,Steel,118.0,10
F2197,Etch,White,110.0,10
F2198,Etch,Gray,110.0,10
F2199,Etch,Taupe,110.0,10
F2200,Etch,Graphite,110.0,10
F2255,Leah,White,110.0,10
F2256,Leah,Cornfield,110.0,10
F2257,Leah,Oatmeal,110.0,10
F2258,Leah,Fawn,110.0,10
F2259,Leah,Gray,110.0,10
F2239,Cara,White,110.0,10
F2240,Cara,Nectar,110.0,10
