group,cover_size_inches,knife_suggested_retail_usd,piping_suggested_retail_usd,source
A,14x14,83,95.45,2026Sep Retail Price Guide.pdf absolute27 printed26
A,16x16,90,103.5,2026Sep Retail Price Guide.pdf absolute27 printed26
A,18x18,98,112.7,2026Sep Retail Price Guide.pdf absolute27 printed26
A,20x20,107,123.05,2026Sep Retail Price Guide.pdf absolute27 printed26
A,24x24,130,149.5,2026Sep Retail Price Guide.pdf absolute27 printed26
A,10x14,75,86.25,2026Sep Retail Price Guide.pdf absolute27 printed26
A,10x16,83,95.45,2026Sep Retail Price Guide.pdf absolute27 printed26
A,10x18,86,98.9,2026Sep Retail Price Guide.pdf absolute27 printed26
A,12x22,90,103.5,2026Sep Retail Price Guide.pdf absolute27 printed26
A,14x24,102,117.3,2026Sep Retail Price Guide.pdf absolute27 printed26
A,14x18,90,103.5,2026Sep Retail Price Guide.pdf absolute27 printed26
B,14x14,147,169.05,2026Sep Retail Price Guide.pdf absolute27 printed26
B,16x16,154,177.1,2026Sep Retail Price Guide.pdf absolute27 printed26
B,18x18,202,232.3,2026Sep Retail Price Guide.pdf absolute27 printed26
B,20x20,226,259.9,2026Sep Retail Price Guide.pdf absolute27 printed26
B,24x24,258,296.7,2026Sep Retail Price Guide.pdf absolute27 printed26
B,10x14,122,140.3,2026Sep Retail Price Guide.pdf absolute27 printed26
B,10x16,139,159.85,2026Sep Retail Price Guide.pdf absolute27 printed26
B,10x18,150,172.5,2026Sep Retail Price Guide.pdf absolute27 printed26
B,12x22,154,177.1,2026Sep Retail Price Guide.pdf absolute27 printed26
B,14x24,189,217.35,2026Sep Retail Price Guide.pdf absolute27 printed26
B,14x18,154,177.1,2026Sep Retail Price Guide.pdf absolute27 printed26
C,14x14,179,205.85,2026Sep Retail Price Guide.pdf absolute27 printed26
C,16x16,218,250.7,2026Sep Retail Price Guide.pdf absolute27 printed26
C,18x18,243,279.45,2026Sep Retail Price Guide.pdf absolute27 printed26
C,20x20,306,351.9,2026Sep Retail Price Guide.pdf absolute27 printed26
C,24x24,338,388.7,2026Sep Retail Price Guide.pdf absolute27 printed26
C,10x14,147,169.05,2026Sep Retail Price Guide.pdf absolute27 printed26
C,10x16,162,186.3,2026Sep Retail Price Guide.pdf absolute27 printed26
C,10x18,170,195.5,2026Sep Retail Price Guide.pdf absolute27 printed26
C,12x22,186,213.9,2026Sep Retail Price Guide.pdf absolute27 printed26
C,14x24,221,254.15,2026Sep Retail Price Guide.pdf absolute27 printed26
C,14x18,186,213.9,2026Sep Retail Price Guide.pdf absolute27 printed26
