kind,observed_value,url,location,decision
phone,805-806-9344,https://www.805shutters.com/,JSON-LD[0] $.@graph[0].contactPoint.telephone,current contact; unchanged
phone,805-806-9344,https://www.805shutters.com/,JSON-LD[0] $.@graph[0].telephone,current contact; unchanged
phone,805-806-9344,https://www.805shutters.com/,page text,current contact; unchanged
phone,805-806-9344,https://www.805shutters.com/about/,JSON-LD[0] $.@graph[0].contactPoint.telephone,current contact; unchanged
phone,805-806-9344,https://www.805shutters.com/about/,JSON-LD[0] $.@graph[0].telephone,current contact; unchanged
phone,805-806-9344,https://www.805shutters.com/about/,page text,current contact; unchanged
phone,805-806-9344,https://www.805shutters.com/ai-search-feed.json,$.entity.phone,current contact; unchanged
phone,805-806-9344,https://www.805shutters.com/ai-site-index.json,$.pages[93].description,current contact; unchanged
phone,805-806-9344,https://www.805shutters.com/ai-site-index.json,$.publisher.phone,current contact; unchanged
phone,805-806-9344,https://www.805shutters.com/answers.json,$.publisher.phone,current contact; unchanged
phone,805-806-9344,https://www.805shutters.com/best-window-treatments-ventura-county/,JSON-LD[0] $.@graph[0].contactPoint.telephone,current contact; unchanged
phone,805-806-9344,https://www.805shutters.com/best-window-treatments-ventura-county/,JSON-LD[0] $.@graph[0].telephone,current contact; unchanged
phone,805-806-9344,https://www.805shutters.com/best-window-treatments-ventura-county/,JSON-LD[1] $.@graph[1].availableChannel.servicePhone,current contact; unchanged
phone,805-806-9344,https://www.805shutters.com/best-window-treatments-ventura-county/,JSON-LD[1] $.@graph[1].provider.telephone,current contact; unchanged
phone,805-806-9344,https://www.805shutters.com/best-window-treatments-ventura-county/,page text,current contact; unchanged
phone,805-806-9344,https://www.805shutters.com/blinds-near-me-ventura-county/,JSON-LD[0] $.@graph[0].contactPoint.telephone,current contact; unchanged
phone,805-806-9344,https://www.805shutters.com/blinds-near-me-ventura-county/,JSON-LD[0] $.@graph[0].telephone,current contact; unchanged
phone,805-806-9344,https://www.805shutters.com/blinds-near-me-ventura-county/,JSON-LD[1] $.@graph[1].availableChannel.servicePhone,current contact; unchanged
phone,805-806-9344,https://www.805shutters.com/blinds-near-me-ventura-county/,JSON-LD[1] $.@graph[1].provider.telephone,current contact; unchanged
phone,805-806-9344,https://www.805shutters.com/blinds-near-me-ventura-county/,page text,current contact; unchanged
phone,805-806-9344,https://www.805shutters.com/blinds/,JSON-LD[0] $.@graph[0].contactPoint.telephone,current contact; unchanged
phone,805-806-9344,https://www.805shutters.com/blinds/,JSON-LD[0] $.@graph[0].telephone,current contact; unchanged
phone,805-806-9344,https://www.805shutters.com/blinds/,JSON-LD[1] $.@graph[1].provider.telephone,current contact; unchanged
phone,805-806-9344,https://www.805shutters.com/blinds/,page text,current contact; unchanged
phone,805-806-9344,https://www.805shutters.com/blinds/camarillo-ca/,JSON-LD[0] $.@graph[0].contactPoint.telephone,current contact; unchanged
phone,805-806-9344,https://www.805shutters.com/blinds/camarillo-ca/,JSON-LD[0] $.@graph[0].telephone,current contact; unchanged
phone,805-806-9344,https://www.805shutters.com/blinds/camarillo-ca/,JSON-LD[1] $.@graph[1].provider.telephone,current contact; unchanged
phone,805-806-9344,https://www.805shutters.com/blinds/camarillo-ca/,page text,current contact; unchanged
phone,805-806-9344,https://www.805shutters.com/blinds/fillmore-ca/,JSON-LD[0] $.@graph[0].contactPoint.telephone,current contact; unchanged
phone,805-806-9344,https://www.805shutters.com/blinds/fillmore-ca/,JSON-LD[0] $.@graph[0].telephone,current contact; unchanged
phone,805-806-9344,https://www.805shutters.com/blinds/fillmore-ca/,JSON-LD[1] $.@graph[1].provider.telephone,current contact; unchanged
