page,json_path,value,disposition
https://www.805shutters.com/,$[0].@graph[0].contactPoint.areaServed[7].name,Westlake Village,Explicitly approved Westlake Village; incorporated city is Los Angeles County
https://www.805shutters.com/,$[0].@graph[0].contactPoint.areaServed[14].name,Santa Clarita,"Outside-county mention; preserve page wording, correct service-area fields"
https://www.805shutters.com/,$[0].@graph[0].areaServed[7].name,Westlake Village,Explicitly approved Westlake Village; incorporated city is Los Angeles County
https://www.805shutters.com/,$[0].@graph[0].areaServed[14].name,Santa Clarita,"Outside-county mention; preserve page wording, correct service-area fields"
https://www.805shutters.com/,$[0].@graph[0].serviceArea.name,"Ventura County, North Los Angeles County, and Santa Clarita","Outside-county mention; preserve page wording, correct service-area fields"
https://www.805shutters.com/,$[0].@graph[0].hasOfferCatalog.itemListElement[0].itemOffered.areaServed,"Ventura County, North Los Angeles County, and Santa Clarita","Outside-county mention; preserve page wording, correct service-area fields"
https://www.805shutters.com/,$[0].@graph[0].hasOfferCatalog.itemListElement[1].itemOffered.areaServed,"Ventura County, North Los Angeles County, and Santa Clarita","Outside-county mention; preserve page wording, correct service-area fields"
https://www.805shutters.com/,$[0].@graph[0].hasOfferCatalog.itemListElement[2].itemOffered.areaServed,"Ventura County, North Los Angeles County, and Santa Clarita","Outside-county mention; preserve page wording, correct service-area fields"
https://www.805shutters.com/,$[0].@graph[0].hasOfferCatalog.itemListElement[3].itemOffered.areaServed,"Ventura County, North Los Angeles County, and Santa Clarita","Outside-county mention; preserve page wording, correct service-area fields"
https://www.805shutters.com/,$[0].@graph[0].hasOfferCatalog.itemListElement[4].itemOffered.areaServed,"Ventura County, North Los Angeles County, and Santa Clarita","Outside-county mention; preserve page wording, correct service-area fields"
https://www.805shutters.com/shutters/,$[0].@graph[0].contactPoint.areaServed[7].name,Westlake Village,Explicitly approved Westlake Village; incorporated city is Los Angeles County
https://www.805shutters.com/shutters/,$[0].@graph[0].contactPoint.areaServed[14].name,Santa Clarita,"Outside-county mention; preserve page wording, correct service-area fields"
https://www.805shutters.com/shutters/,$[0].@graph[0].areaServed[7].name,Westlake Village,Explicitly approved Westlake Village; incorporated city is Los Angeles County
https://www.805shutters.com/shutters/,$[0].@graph[0].areaServed[14].name,Santa Clarita,"Outside-county mention; preserve page wording, correct service-area fields"
